focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
125,1513.0132336849836,34510.42760194905,17.379170657080294,43.1459270218822,0.0002592110339506173,0.003534010898919753,166.10539616488234,5.843999999999999,219.83599999999998,238.00723374999978,232.1632337499998,46.82119426396192,12.011213415538826,173.27821632667823
130,1537.595756062554,34247.91031015513,17.332333443937465,42.94431813481889,0.0002697603202160494,0.003845968364197531,165.8150231496552,5.785,219.83599999999998,237.57837499999997,231.79337499999997,46.504434395114124,11.473899833274832,172.84184208622685
135,1011.7371278009427,28493.992721302104,14.280675417135589,41.19550249237584,0.00016125337577160495,0.0012101538387345677,166.3597194899571,8.23613375,218.44243749999998,235.63437124999996,227.39823749999996,44.67215455192162,11.486486486486486,173.40605559172457
140,480.96536884769483,21707.0659123625,10.40039768862847,39.0810452448221,3.1647858796296295e-05,0.00013412663966049383,167.23729706940827,10.30995375,217.87475,233.38079624999966,223.07084249999969,43.166171336410116,11.486486486486486,174.25496569974922
145,234.71036966457945,16425.698026693943,7.542923317695847,37.082165508483094,0.0,7.5352044753086416e-06,168.03172797911844,11.34350875,217.83599999999998,231.05411999999995,219.71061124999994,42.438083119592285,11.492983367983367,174.9748836564429
150,136.41911191924484,12530.058807605634,5.973376894541763,35.083036779339906,0.0,3.0140817901234566e-06,168.7218550091025,11.4647275,216.08275,230.14599999999996,218.68127249999995,42.369642255972195,12.318356282291054,175.8519633728781
155,90.72527965158565,9838.901174551658,5.016327549297843,33.159256818924945,0.0,1.5070408950617283e-06,169.37098987419222,11.7325575,215.83599999999998,228.201625,216.46906750000002,41.78833492424813,12.238092671319546,176.4366153669946
160,67.02283075087757,7856.135957900267,4.414702290881737,31.44173782953243,0.0,1.0549286265432098e-05,169.98258096426503,11.767757500000002,214.60225,228.14600000000002,216.3782425,40.72497146899511,11.988934459574207,176.99041220582563
165,50.610831210693604,6080.937636278202,3.9587938068821282,29.82417177333073,0.0,1.5070408950617283e-06,170.44674574562356,11.905874999999998,213.83599999999998,226.46575,214.559875,40.27154277965879,11.834179772826563,177.3769259982639
170,38.75421377157694,4618.497103819707,3.578790190585705,28.346918743172708,0.0,0.0,170.86655253544558,11.837846249999998,213.591,226.146,214.30815374999997,39.375934989276075,11.819410352282105,177.6893913363233
175,29.835772542636185,3604.858049950757,3.231774632101094,27.130980523413076,0.0,0.0,171.20599980408468,11.938749999999999,211.85162499999998,225.85012874999984,213.9113787499998,38.907973976957315,11.895168471829795,178.00478485484183
180,24.182576579623657,2878.1673365901615,2.9633101543768685,26.109429070397013,0.0,1.5070408950617283e-06,171.4191888608579,12.028249999999998,211.80537499999997,224.14599999999996,212.11774999999994,38.556557414421064,11.888240630056266,178.15193383487653
185,19.73645688152465,2315.1914171538874,2.719517670157071,25.17704278868559,0.0,6.028163580246913e-06,171.65406465506845,11.999499999999998,210.84412499999996,224.14599999999996,212.14649999999995,37.967684300586306,11.888304776739355,178.2887836974344
190,16.479377780202046,1897.0464257817866,2.5255639159367846,24.404119279836944,0.0,0.0,171.78515205138405,12.060123749999999,209.83599999999996,223.917625,211.85750124999998,37.64438247783404,12.262330571196376,178.46279266734183
195,13.92913525530036,1593.0797909168666,2.340894011168473,23.73027116257679,0.0,1.5070408950617283e-06,171.84271505473572,12.07672,209.591,222.31849999999997,210.24177999999998,37.043761726273914,11.922880742398315,178.37489300009645
