focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
50,24.644646404585707,2725.407963036827,3.1137242547218307,27.712551286863167,0.0,0.0,171.5478429814091,14.953235,210.59099999999998,233.81952874999996,218.86629374999995,47.53125012045929,15.001537055754355,181.5840883608218
55,26.191031394378182,2871.1041372746913,3.2019747914322085,27.87604428904038,0.0,0.0,171.29282968328025,14.439161250000002,210.71262499999997,233.410375,218.97121375,47.65313361879213,14.956537212093544,181.31352629484957
60,27.92279436708039,3066.292766830087,3.295085743687921,28.074626262769584,0.0,0.0,170.94759231228295,14.322657499999998,211.142125,232.4327149999998,218.1100574999998,47.572472928775035,14.922074558682677,180.93538110050156
65,30.317780970981318,3301.032484308539,3.4271206604442943,28.317790317266734,0.0,0.0,170.52468438494645,14.07984875,211.53799999999998,232.146,218.06615125,47.372522004791705,15.033498331867946,180.48966019241897
70,34.25290601175221,3691.3629770888156,3.6173925493590073,28.823457103361918,0.0,0.0,169.80011533685374,13.964591249999998,211.679375,232.146,218.18140875,47.73405121728628,15.009914410884813,179.7272994429977
75,38.303333502822746,4090.9278344144805,3.792079249645253,29.27103175873828,0.0,0.0,169.1584589014877,13.963999999999999,212.4888125,231.892375,217.928375,47.979074527951425,14.933117304089155,179.05356626157408
80,43.43533907673529,4586.927994612498,3.9929414282306617,29.755455690762542,0.0,0.0,168.5552818965205,13.948875,213.02700000000002,231.410375,217.4615,48.10428225448776,14.807698552772823,178.41008089795525
85,55.91783096912393,5645.986401304184,4.440324553811717,30.731853299096038,0.0,0.0,167.49413497811776,13.826999999999998,214.0598125,230.14599999999996,216.31899999999996,48.35163371052661,14.84887992472774,177.24080102237653
90,81.08337598430488,7506.5045836000145,5.158880549065422,32.176455078557,0.0,0.0,166.073521042812,13.1537525,214.20425,230.05212499999996,216.89837249999997,48.425392889749666,14.865470852017937,175.61135073061342
95,118.2096880152186,9828.507362429178,5.992103863397271,33.73645449840158,0.0,0.0,164.62011310191212,12.31928875,214.03312499999998,228.8454425,216.52615374999996,48.627605499066405,14.865470852017937,173.90684076003086
100,158.93517554933015,12233.479038012887,6.792893719112396,35.41956291632316,0.0,2.1098572530864196e-05,163.1517344428168,12.02421625,213.621625,228.14600000000002,216.12178375000002,48.77961867950411,14.915919282511211,172.26548333815586
105,200.11447948230742,15009.701292303096,7.522175450775555,37.31349292726103,0.0,5.123939043209876e-05,161.4545761990017,11.70926875,213.591,228.07250000000002,216.36323125,49.2530236894284,14.991554054054054,170.5716251326196
110,300.76568621846377,19148.87727937923,9.148768552441652,39.34496217046026,9.04224537037037e-06,0.00018235194830246913,159.71021069335936,10.75913375,213.591,227.72189374999982,216.9627599999998,49.282295388389336,15.0,168.58673321759258
115,567.7380283475918,24712.3491688468,12.181822617984537,41.39992765393292,2.1098572530864196e-05,0.0005003375771604938,157.8650396713445,9.80871375,211.9665,228.32901374999994,218.52029999999996,50.170790907255224,15.098030386952937,166.4756175853588
120,1110.4690919966554,31359.79141956887,16.23068389899447,43.38323575488174,3.466194058641975e-05,0.001626097125771605,156.0150609748746,7.81596625,211.59099999999998,230.21402999999992,222.39806374999995,51.72258458219547,15.136986301369863,164.4133421344522
125,1613.0573183356937,35952.38297931354,19.020109371177277,44.66914919900523,5.7267554012345676e-05,0.004949122299382716,154.69786243278594,4.770580000000001,211.22112499999997,231.24761249999966,226.47703249999964,52.99560138041761,15.136986301369863,162.93610749421296
130,1524.1137302535485,34885.08838205912,18.274135630229488,44.374099210038565,6.028163580246913e-05,0.0045226297260802465,154.23077231776858,5.134875,209.77474999999998,230.20162499999998,225.06674999999998,52.9446805961724,15.224100927855888,162.4544059847608
135,962.7927927316065,28567.21323753197,14.9024864446225,42.58733396734891,2.8633777006172838e-05,0.0010835624035493826,154.65357895839358,8.2,209.591,228.0665175,219.86651750000001,51.253115899980465,15.276497695852534,162.96863245081016
140,451.0051823842431,21465.85562408081,10.684622918909334,40.36382773256585,1.5070408950617283e-05,0.00016878858024691357,155.44445956910684,10.08844875,208.15125,224.535375,214.44692625000002,50.04533881687645,15.285338261648745,163.77708755304783
145,230.61508359069188,16255.597085753503,7.897807724653816,38.38574655425578,0.0,1.0549286265432098e-05,156.0775228663315,10.32981625,207.59099999999998,222.146,211.81618375,49.52466768439923,15.41860465116279,164.43886990017361
150,133.69429202148626,12316.209041081045,6.25929301328473,36.355668103671356,0.0,1.5070408950617283e-05,156.72283074423706,10.746093749999998,206.960375,221.039125,210.29303125,48.899773593135436,15.41860465116279,165.20042287567514
155,87.39127163267966,9559.536980704434,5.214836361440037,34.47274570599878,0.0,0.0,157.2239835220148,11.3602025,205.591,220.14600000000002,208.7857975,48.47061474853481,15.56338028169014,165.87905243296683
160,64.23490999662717,7441.371364860142,4.598039623293538,32.779103697300464,0.0,0.0,157.59751150022902,11.474561249999999,205.538,218.87124999999997,207.39668875,47.74357086527196,15.572556803082646,166.2707625024113
165,49.188685486927696,5684.668604443044,4.135697639391791,31.229675022620917,0.0,0.0,157.95680984760799,11.750874999999999,203.621625,218.146,206.395125,46.971165863973155,15.72311545287932,166.59024763695987
170,36.29857189952672,4325.36793246743,3.6755448650119904,29.81480535958316,0.0,0.0,158.20079838957605,11.113949999999999,203.591,217.42018874999997,206.30623874999995,46.371986374039665,15.710900473933648,166.76027048369983
175,28.688865092275016,3393.3946866419237,3.350966482360427,28.633642517183148,0.0,0.0,158.38517802523387,11.624499999999998,201.763,216.14600000000002,204.5215,45.794199461380444,15.824456838186816,166.9293167679398
180,23.131892243606444,2731.2180619496194,3.0636659107868107,27.651087585581145,0.0,0.0,158.5746344943576,11.74011,201.591,216.11537500000003,204.375265,45.20371324881226,15.773789192062072,167.0306652681327
185,18.548618770663893,2213.1173555851883,2.7922288679845404,26.752512714937808,0.0,0.0,158.7487178487895,11.81620875,200.91049999999998,215.17762499999998,203.36141625,44.53539528824726,15.861244019138756,167.0917652271412
190,15.69470982581013,1827.1189371257276,2.584491706219115,25.976246110617623,0.0,0.0,158.77095384687254,11.79529,199.591,214.146,202.35070999999996,44.19741493869131,15.870776016746412,167.09067714361495
195,13.560958617144301,1538.9634723930799,2.4302144991314796,25.33381209099661,0.0,0.0,158.76753514720775,11.94075,199.1294375,214.06849999999997,202.12775,43.8786029560274,15.947308287393383,167.0497428988233
200,11.98111288517783,1311.3126305329304,2.3211661110975217,24.756574040376314,0.0,0.0,158.779948040244,11.87225,197.8264375,213.174125,201.301875,43.47372376031794,15.947400383988626,166.99310528790508
205,10.832527599934549,1135.0702457343664,2.2256073864192425,24.248913843007237,0.0,0.0,158.80158075177226,11.939374999999998,197.2185,212.14600000000002,200.20662500000003,43.11219430819217,15.870776016746412,166.7346538025656
210,10.01500034922359,1004.7876225145078,2.1457528471644602,23.79654162918589,0.0,0.0,158.73579789828074,11.958499999999999,196.067,212.14600000000002,200.1875,42.459386623789484,15.99524456521739,166.62764334972994
215,9.680601027742213,952.8658632196812,2.115412585017374,23.587283562047535,0.0,0.0,158.73305974965035,11.96125,195.744125,212.052125,200.09087499999998,42.48999949761224,16.014492753623188,166.58954535590277
220,9.618094126240788,948.523939973614,2.107060363862116,23.58184940141255,0.0,0.0,158.72899502525797,11.91862875,195.77475,211.999125,200.08049625,42.30226368972601,16.00486865942029,166.65119237075618
225,9.559202860506185,949.0459356331285,2.106175189301271,23.576470499508112,0.0,0.0,158.72471074761282,12.0155,195.68075,211.899125,199.883625,42.438428929356306,16.014492753623188,166.69239788290895
230,9.682102307445835,950.2439215809254,2.115239989051723,23.557221397809908,0.0,0.0,158.7664687695915,11.947499999999998,195.65225,212.105125,200.157625,42.41456939157168,16.014492753623188,166.75547507957177
235,9.646749517375337,947.5233495850723,2.116828859727459,23.54316778519918,0.0,0.0,158.77780653965323,11.962625,195.650125,212.10725000000002,200.14462500000002,42.3365757279242,16.014492753623188,166.75389268663196
240,9.528171345004589,946.0354690214929,2.0991291300704638,23.55490645546955,0.0,0.0,158.7486756124614,11.955749999999998,195.621625,212.02974999999998,200.074,42.46188900988794,16.014492753623188,166.74140383873458
245,9.736101083986373,947.2317535219761,2.123074943729514,23.569650381787326,0.0,0.0,158.61469077630687,11.955749999999998,195.591,211.774125,199.818375,42.43615136020037,16.014492753623188,166.67894151475696
250,9.570679282719553,946.6148920877207,2.1058364485981342,23.68238193716514,0.0,0.0,158.4519231800974,11.87,195.591,211.516,199.64599999999996,42.24775951797248,16.00486865942029,166.1689422984182
255,9.58603011963711,943.726093640407,2.103469598644619,23.62729986835301,0.0,0.0,158.3879029571156,11.90396625,195.53537500000002,211.44968874999995,199.54572249999995,42.3428859629516,16.00486865942029,166.1861888744213
